,track_uri,artist_uri,genres
963,2bfGNzdiRa1jXZRdfssSzR,3AA28KZvwAUcZuOKwyblJQ,alternative hip hop
964,52t3lx38kiruAIGY2gISfc,3NKVm2Jedcf6ibJr6pMUVx,canadian electronic
965,4YbCZSeX3QhpEyQE5KAtio,7yk35uHNQclPXFGFoTU44w,alternative hip hop
965,4YbCZSeX3QhpEyQE5KAtio,7yk35uHNQclPXFGFoTU44w,hardcore hip hop
965,4YbCZSeX3QhpEyQE5KAtio,7yk35uHNQclPXFGFoTU44w,hip hop
965,4YbCZSeX3QhpEyQE5KAtio,7yk35uHNQclPXFGFoTU44w,jazz rap
965,4YbCZSeX3QhpEyQE5KAtio,7yk35uHNQclPXFGFoTU44w,rap
965,4YbCZSeX3QhpEyQE5KAtio,7yk35uHNQclPXFGFoTU44w,west coast rap
966,3LyNsopPP3hXf8bZBE7cDk,7yO4IdJjCEPz7YgZMe25iS,hip hop
966,3LyNsopPP3hXf8bZBE7cDk,7yO4IdJjCEPz7YgZMe25iS,rap
966,3LyNsopPP3hXf8bZBE7cDk,7yO4IdJjCEPz7YgZMe25iS,southern hip hop
966,3LyNsopPP3hXf8bZBE7cDk,7yO4IdJjCEPz7YgZMe25iS,trap
967,3bBmpVl9rQKJsFFGLFilIS,6LEeAFiJF8OuPx747e1wxR,alternative r&b
967,3bBmpVl9rQKJsFFGLFilIS,6LEeAFiJF8OuPx747e1wxR,art pop
967,3bBmpVl9rQKJsFFGLFilIS,6LEeAFiJF8OuPx747e1wxR,chillwave
967,3bBmpVl9rQKJsFFGLFilIS,6LEeAFiJF8OuPx747e1wxR,metropopolis
968,6ocxCGYgcmZhCeTT1yuNkt,2Mu5NfyYm8n5iTomuKAEHl,alternative r&b
968,6ocxCGYgcmZhCeTT1yuNkt,2Mu5NfyYm8n5iTomuKAEHl,conscious hip hop
968,6ocxCGYgcmZhCeTT1yuNkt,2Mu5NfyYm8n5iTomuKAEHl,neo soul
968,6ocxCGYgcmZhCeTT1yuNkt,2Mu5NfyYm8n5iTomuKAEHl,new jersey rap
968,6ocxCGYgcmZhCeTT1yuNkt,2Mu5NfyYm8n5iTomuKAEHl,r&b
968,6ocxCGYgcmZhCeTT1yuNkt,2Mu5NfyYm8n5iTomuKAEHl,urban contemporary
969,11a2mvgaFnKHxq64D5ykQQ,3c9eLJ2s9SnsoWQHHA4K6i,experimental hip hop
969,11a2mvgaFnKHxq64D5ykQQ,3c9eLJ2s9SnsoWQHHA4K6i,indie hip hop
