track_name,artist_name,album_name,release_date,length,popularity,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Blooming In Solitude,Connie Constance,English Rose,2019-03-22,223106,6,5wmClsjmA0i08iWEZnAhrT,0.751,0.523,0.64,0.000542,10,0.133,-2.917,1,0.0415,75.133,4
Grey Area,Connie Constance,English Rose,2019-03-22,288800,5,3TMsi4Fbg1yNqXjjOv9D7s,0.748,0.611,0.379,4e-06,2,0.112,-9.221,0,0.0377,96.142,4
Let Go,Connie Constance,English Rose,2019-03-22,265786,21,6xhp1lWKnjvyTJTpMQ7l6p,0.666,0.657,0.47,0.00437,1,0.102,-9.345,0,0.037,92.998,4
End Credits (Sober),Connie Constance,English Rose,2019-03-22,184066,10,7nyBQhpxTLvn6IdluF5Msl,0.834,0.828,0.544,2.74e-05,2,0.0911,-7.048,1,0.0611,111.036,4
2 Second Style,DJ Muggs,Tuez-Les Tous,2019-03-29,115849,0,4dQ6FRaKA9uTnC9sD8dudj,0.706,0.489,0.932,0.0,5,0.537,-6.189,0,0.385,146.165,4
Stain Glass,DJ Muggs,Tuez-Les Tous,2019-03-29,114581,0,4FnhHuD2yzf5VkQBsTwm7E,0.78,0.387,0.733,0.0326,5,0.234,-10.789,1,0.327,133.683,4
900K,DJ Muggs,Tuez-Les Tous,2019-03-29,151000,0,58Da88NhGj42yUH5q4tZtE,0.585,0.507,0.889,0.0,2,0.425,-7.308,1,0.431,78.766,4
Piotr,DJ Muggs,Tuez-Les Tous,2019-03-29,178104,0,6nrE22WU9Neov8OtaZyzoh,0.46,0.348,0.693,0.1,1,0.129,-7.618,1,0.149,136.789,4
Lajan Jwif,DJ Muggs,Tuez-Les Tous,2019-03-29,147815,0,4Pikr21OhG8Z81QcBgKh0t,0.699,0.432,0.793,0.00078,5,0.309,-7.921,0,0.552,147.543,4
Wet Bally,DJ Muggs,Tuez-Les Tous,2019-03-29,139234,0,6p5q3Q672Cio7c94Qvm2pw,0.573,0.384,0.783,0.0,5,0.678,-7.529,0,0.368,173.933,4
Kouign-Amann,DJ Muggs,Tuez-Les Tous,2019-03-29,166318,0,1gfaTYdSUIlRvQt4blDFZ0,0.538,0.615,0.796,0.000102,10,0.209,-7.77,0,0.317,94.628,4
Spent Casings,DJ Muggs,Tuez-Les Tous,2019-03-29,202098,0,0g1OXStuLph6kV4u0f3yR1,0.0191,0.426,0.69,6.01e-06,7,0.419,-7.964,0,0.302,69.958,4
NTM,DJ Muggs,Tuez-Les Tous,2019-03-29,160442,0,2obcpoayRZrJpGX0i09kb5,0.32,0.422,0.686,0.0,11,0.385,-8.389,0,0.41,122.108,4
Bón Nwit,DJ Muggs,Tuez-Les Tous,2019-03-29,160821,0,4w1bd1ZeuNimmPZBcDN0uY,0.509,0.404,0.636,0.0,2,0.131,-6.528,1,0.0362,74.557,4
The Fowler's Snare,DJ Muggs,Tuez-Les Tous,2019-03-29,142702,0,2u1EY53IL7bllh103fDsEP,0.717,0.496,0.419,1.01e-05,9,0.214,-8.77,1,0.0837,148.209,4
Mami Wata,DJ Muggs,Tuez-Les Tous,2019-03-29,151363,0,0cMI6TGCiQCnjtDolW17Mn,0.735,0.437,0.828,0.0,0,0.412,-6.185,1,0.415,66.093,3
Kamane Tarhanin,Mdou Moctar,Ilana (The Creator),2019-03-29,308393,0,3pNiID8HDdeoUGQxGTY5Lg,0.36,0.207,0.761,0.809,5,0.15,-7.41,0,0.0583,92.038,3
